# {"t_start": 1782311387.5549908, "env_id": "PctContinuous-v0"} 
r,l,t
11.601396,88,4048.516209
11.399527,83,4064.267731
11.580311,82,4079.706816
10.286215,75,4093.515085
11.971726,89,4110.610007
11.504615,87,4126.72828
11.306319,84,4141.921474
12.432214,90,4158.400212
10.996671,83,4174.308513
11.096567,84,4190.227934
11.257723,79,4204.937812
11.816643,85,4220.317454
10.68155,75,4234.341386
12.052372,88,4251.074598
11.214167,80,4266.162343
11.883436,87,4282.096568
10.740079,80,4296.691788
11.493321,88,4312.256803
12.106629,87,4327.798461
11.985748,87,4344.015339
11.093257,79,4358.423775
11.357965,83,4373.732765
11.978022,88,4389.381685
10.796841,76,4402.839851
12.351697,90,4419.73454
10.846883,78,4434.31619
11.437721,85,4450.136386
11.738326,84,4465.206282
12.205019,88,4481.522302
11.422372,84,4496.843248
11.762681,85,4512.160212
11.223683,84,4527.040418
12.482248,90,4542.517207
11.741849,85,4557.788872
11.369382,86,4572.759386
10.931276,82,4588.352012
10.870941,80,4602.732954
11.438591,78,4616.513948
10.864666,81,4630.794594
11.613834,89,4646.03628
11.278003,83,4660.077364
11.154081,81,4674.303592
11.390076,85,4689.574858
11.499068,82,4704.963771
10.728053,79,4718.454194
11.61942,85,4733.274875
11.830185,83,4748.275866
11.088914,82,4763.119071
11.342854,80,4777.945439
11.631546,87,4793.118849
10.680174,77,4806.680979
11.224089,81,4821.087371
10.981229,78,4835.394242
12.768772,92,4852.037723
11.900384,89,4868.199417
10.750185,77,4882.673533
12.302355,90,4898.945845
10.884304,80,4913.309916
11.244923,84,4928.108592
12.12902,91,4944.494614
11.410546,86,4960.632062
11.404118,85,4975.543065
12.005757,89,4992.760598
11.776325,89,5008.539836
10.4128,72,5021.905185
12.185577,89,5037.822971
12.036523,89,5053.847768
11.509307,84,5069.210917
11.549005,85,5084.793226
12.339132,90,5101.006444
11.708071,88,5117.209558
11.32785,80,5131.567624
11.047798,84,5146.779772
10.467075,71,5159.970216
11.320269,85,5175.312249
10.287677,71,5188.977409
10.711209,81,5204.035709
10.916775,77,5217.916335
10.421689,79,5232.27178
9.196732,68,5245.172641
9.567402,69,5257.899411
10.90991,80,5272.612197
9.522535,68,5284.995749
8.18082,59,5295.426044
8.959921,65,5306.962849
9.392602,70,5320.348474
8.983077,67,5332.587425
9.293753,69,5345.839642
9.304369,72,5359.65616
9.792552,75,5373.713213
8.487607,61,5385.363219
9.114916,65,5398.028257
8.91562,69,5410.22619
8.179308,64,5422.023832
9.538937,73,5435.282492
8.477718,64,5447.365867
8.562755,60,5458.713467
9.863781,77,5472.698724
10.023626,75,5486.106926
12.713844,95,5502.806273
11.171708,84,5518.451692
10.84142,77,5532.750312
12.168944,87,5548.794655
11.092973,81,5563.436073
11.84775,85,5578.624898
10.800826,77,5592.094935
11.233626,78,5606.102547
10.819595,82,5620.556663
11.813107,87,5636.204644
11.395285,78,5650.335244
12.444832,94,5666.681334
12.760601,91,5683.166963
11.309482,83,5697.852339
10.833176,77,5711.569032
12.053182,89,5727.6567
10.727166,76,5741.728804
11.98365,88,5757.201078
10.928723,79,5771.149603
11.94539,88,5786.515325
11.072149,79,5800.472673
11.765707,87,5815.437988
11.528623,82,5829.490422
11.525831,86,5844.198868
11.983062,86,5859.499745
10.822519,79,5874.060306
11.005758,75,5887.506863
10.779331,73,5900.447731
12.476145,91,5916.57205
12.72726,94,5933.246392
11.869635,87,5948.674575
11.087503,81,5963.203871
11.010241,77,5976.796552
10.511087,74,5990.191105
12.70177,98,6007.583439
10.613328,76,6021.043238
8.343689,58,6031.774752
10.893303,77,6045.009172
12.140446,93,6061.26194
12.285712,89,6077.235848
12.022606,88,6092.288438
11.573421,82,6106.552357
11.937973,85,6121.835598
12.240736,86,6137.81086
11.969301,87,6153.459243
12.065059,88,6168.567755
11.976111,90,6185.255525
11.766851,87,6201.32291
11.827688,86,6216.411686
11.554493,86,6231.132774
11.330049,83,6245.893224
11.465631,85,6261.026911
12.537937,93,6277.495761
12.239105,91,6293.379776
10.889547,79,6307.745316
11.977817,89,6323.417462
12.043913,85,6338.974624
10.169194,71,6351.99777
11.64641,85,6367.378265
11.519237,85,6383.123008
11.732423,88,6398.527611
11.75246,87,6414.382025
12.139642,88,6430.383869
10.649266,76,6443.819124
10.292006,76,6457.933881
11.642417,84,6473.310374
12.22775,87,6488.47726
11.06588,84,6503.313781
12.411431,90,6519.152212
12.012613,87,6534.866275
11.932753,91,6551.256524
11.900265,87,6566.448885
11.602655,87,6581.737541
11.176811,81,6595.540397
11.380673,82,6610.772699
11.43667,85,6626.227438
12.108304,88,6641.899971
11.2379,79,6655.300018
11.743219,86,6670.986965
11.820049,82,6685.276197
12.140213,92,6700.948768
7.390879,47,6708.981691
11.096617,81,6723.855695
12.241882,92,6739.997743
9.966902,70,6752.396756
10.8987,77,6766.235305
11.607134,81,6780.729282
11.830599,83,6795.503901
11.824401,87,6811.372928
12.04689,88,6827.60143
10.833478,75,6840.540353
9.936518,65,6852.359281
11.290973,77,6866.380276
11.559155,80,6880.536631
12.144469,91,6896.95396
12.017234,87,6912.780143
12.145877,90,6928.42179
11.524787,85,6943.05662
11.472328,84,6958.001534
11.652599,92,6973.8022
11.67179,87,6988.868734
11.117429,80,7002.636174
11.424795,80,7017.066118
12.001549,89,7033.030666
11.337757,86,7048.401934
11.984868,85,7063.18357
11.213444,81,7077.325459
