[gat-train] wandb run url: https://wandb.ai/nkyeonjae1009-university-of-seoul/assignment2-pallet/runs/soyxkhtk
[gat-train] run_dir=isaaclab_pallet/runs/sun_terminal18_env128_workers4_rand10eval_sun_v1_deploybest device=cuda:0 num_envs=128 num_packer_workers=4 obs_shape=(128, 301, 9) leaf_shape=(128, 100, 9) num_steps=5 normFactor=0.8 drift_fail_threshold=0.4 reward_profile=sun_v1 learn_finish_action=False action_space=100 candidate_rerank_k=0 candidate_diversity_center_m=0.05
[gat-train] eval_seq_count=10 box_seq_dir=artifacts/random_spec_eval_10/box_sequence eval_sequences=random_spec_000,random_spec_001,random_spec_002,random_spec_003,random_spec_004,random_spec_005,random_spec_006,random_spec_007,random_spec_008,random_spec_009
/home/user/Documents/assignment2_project/templete code/src/pct/convex_hull.py:104: DeprecationWarning: Arrays of 2-dimensional vectors are deprecated. Use arrays of 3-dimensional vectors instead. (deprecated in NumPy 2.0)
  if np.sum(np.cross(coords[i] - point, point - coords[j])) == 0:
[gat-train] initial deployment score = 84.79 (torch_eval=87.48)  -> PCT-best.pt
[gat-train] update=143 samples=91520 fps=63.7 loss=2.3302 actor=0.4552 value=1.8898 entropy=1.4782 mean_return=36.493 mean_len=81.5
[gat-train] update=144 samples=92160 fps=63.7 loss=2.2014 actor=0.1212 value=2.0949 entropy=1.4736 mean_return=35.964 mean_len=80.5
[gat-train] update=145 samples=92800 fps=63.7 loss=2.2187 actor=-0.0141 value=2.2483 entropy=1.5507 mean_return=35.680 mean_len=79.6
[gat-train] update=146 samples=93440 fps=63.7 loss=1.7366 actor=0.2043 value=1.5480 entropy=1.5706 mean_return=36.690 mean_len=81.0
[gat-train] update=147 samples=94080 fps=63.8 loss=2.1707 actor=-0.3283 value=2.5155 entropy=1.6450 mean_return=36.885 mean_len=81.9
[gat-train] update=148 samples=94720 fps=63.9 loss=1.7661 actor=-0.0720 value=1.8534 entropy=1.5278 mean_return=37.585 mean_len=83.1
[gat-train] update=149 samples=95360 fps=63.9 loss=1.7903 actor=0.3172 value=1.4882 entropy=1.5122 mean_return=37.561 mean_len=83.5
[gat-train] update=150 samples=96000 fps=64.0 loss=2.0806 actor=0.4418 value=1.6540 entropy=1.5176 mean_return=37.872 mean_len=84.2
[gat-train] eval update=150 torch_score=86.84 best=84.79
[gat-train] update=151 samples=96640 fps=63.2 loss=1.9851 actor=0.7624 value=1.2371 entropy=1.4495 mean_return=37.926 mean_len=84.1
